# l[4]( l_4(t) ) connection: point2-point5
n t l_4(t)
392 0.980000 0.999999778197
393 0.982500 0.999999785495
394 0.985000 0.999999794540
395 0.987500 0.999999805446
396 0.990000 0.999999818313
397 0.992500 0.999999833219
398 0.995000 0.999999850213
399 0.997500 0.999999869323
400 1.000000 0.999999890552
401 1.002500 0.999999913874
402 1.005000 0.999999939234
403 1.007500 0.999999966549
404 1.010000 0.999999995707
405 1.012500 1.000000026564
406 1.015000 1.000000058952
407 1.017500 1.000000092677
408 1.020000 1.000000127523
409 1.022500 1.000000163255
410 1.025000 1.000000199618
411 1.027500 1.000000236332
412 1.030000 1.000000273091
413 1.032500 1.000000309577
414 1.035000 1.000000345466
415 1.037500 1.000000380425
416 1.040000 1.000000414111
417 1.042500 1.000000446185
418 1.045000 1.000000476309
419 1.047500 1.000000504142
420 1.050000 1.000000529349
421 1.052500 1.000000551603
422 1.055000 1.000000570579
423 1.057500 1.000000585963
424 1.060000 1.000000597458
425 1.062500 1.000000604786
426 1.065000 1.000000607690
427 1.067500 1.000000605947
428 1.070000 1.000000599374
429 1.072500 1.000000587827
430 1.075000 1.000000571209
431 1.077500 1.000000549474
432 1.080000 1.000000522635
433 1.082500 1.000000490762
434 1.085000 1.000000453983
435 1.087500 1.000000412484
436 1.090000 1.000000366498
437 1.092500 1.000000316313
438 1.095000 1.000000262270
439 1.097500 1.000000204775
440 1.100000 1.000000144282
441 1.102500 1.000000081287
442 1.105000 1.000000016326
443 1.107500 0.999999949971
444 1.110000 0.999999882823
445 1.112500 0.999999815508
446 1.115000 0.999999748667
447 1.117500 0.999999682952
448 1.120000 0.999999619006
449 1.122500 0.999999557457
450 1.125000 0.999999498904
451 1.127500 0.999999443924
452 1.130000 0.999999393057
453 1.132500 0.999999346808
454 1.135000 0.999999305636
455 1.137500 0.999999269945
456 1.140000 0.999999240075
457 1.142500 0.999999216308
458 1.145000 0.999999198859
459 1.147500 0.999999187877
460 1.150000 0.999999183441
