x[3] y[3]
-0.573102 -0.573102
-0.573403 -0.573403
-0.573531 -0.573531
-0.573486 -0.573486
-0.573269 -0.573269
-0.572881 -0.572881
-0.572323 -0.572323
-0.571597 -0.571597
-0.570702 -0.570702
-0.569642 -0.569642
-0.568417 -0.568417
-0.567027 -0.567027
-0.565476 -0.565476
-0.563764 -0.563764
-0.561893 -0.561893
-0.559864 -0.559864
-0.557678 -0.557678
-0.555339 -0.555339
-0.552846 -0.552846
-0.550202 -0.550202
-0.547409 -0.547409
-0.544468 -0.544468
-0.541382 -0.541382
-0.538151 -0.538151
-0.534779 -0.534779
-0.531266 -0.531266
-0.527616 -0.527616
-0.523829 -0.523829
-0.519908 -0.519908
-0.515856 -0.515856
-0.511674 -0.511674
-0.507364 -0.507364
-0.502928 -0.502928
-0.498369 -0.498369
-0.493689 -0.493689
-0.488890 -0.488890
-0.483974 -0.483974
-0.478944 -0.478944
-0.473802 -0.473802
-0.468551 -0.468551
-0.463191 -0.463191
-0.457727 -0.457727
-0.452160 -0.452160
-0.446493 -0.446493
-0.440727 -0.440727
-0.434866 -0.434866
-0.428912 -0.428912
-0.422867 -0.422867
-0.416734 -0.416734
-0.410514 -0.410514
-0.404211 -0.404211
-0.397827 -0.397827
-0.391364 -0.391364
-0.384824 -0.384824
-0.378210 -0.378210
-0.371525 -0.371525
-0.364770 -0.364770
-0.357948 -0.357948
-0.351061 -0.351061
-0.344112 -0.344112
-0.337103 -0.337103
-0.330035 -0.330035
-0.322912 -0.322912
-0.315736 -0.315736
-0.308508 -0.308508
-0.301231 -0.301231
-0.293907 -0.293907
-0.286538 -0.286538
-0.279126 -0.279126
-0.271673 -0.271673
-0.264181 -0.264181
-0.256652 -0.256652
-0.249088 -0.249088
-0.241491 -0.241491
-0.233861 -0.233861
-0.226203 -0.226203
-0.218515 -0.218515
-0.210802 -0.210802
-0.203063 -0.203063
-0.195301 -0.195301
-0.187517 -0.187517
-0.179712 -0.179712
-0.171888 -0.171888
-0.164047 -0.164047
-0.156188 -0.156188
-0.148314 -0.148314
-0.140425 -0.140425
-0.132523 -0.132523
-0.124609 -0.124609
-0.116683 -0.116683
-0.108746 -0.108746
-0.100799 -0.100799
-0.092843 -0.092843
-0.084879 -0.084879
-0.076906 -0.076906
-0.068926 -0.068926
-0.060940 -0.060940
-0.052946 -0.052946
-0.044947 -0.044947
-0.036941 -0.036941
-0.028930 -0.028930
-0.020914 -0.020914
-0.012892 -0.012892
-0.004865 -0.004865
0.003167 0.003167
0.011204 0.011204
0.019246 0.019246
0.027294 0.027294
0.035346 0.035346
0.043404 0.043404
0.051468 0.051468
0.059537 0.059537
0.067612 0.067612
0.075693 0.075693
0.083780 0.083780
0.091874 0.091874
0.099975 0.099975
0.108082 0.108082
0.116196 0.116196
0.124318 0.124318
0.132447 0.132447
0.140584 0.140584
0.148729 0.148729
0.156881 0.156881
0.165042 0.165042
0.173211 0.173211
0.181388 0.181388
0.189573 0.189573
0.197767 0.197767
0.205968 0.205968
0.214177 0.214177
0.222395 0.222395
0.230620 0.230620
0.238852 0.238852
0.247091 0.247091
0.255337 0.255337
0.263590 0.263590
0.271848 0.271848
0.280111 0.280111
0.288379 0.288379
0.296651 0.296651
0.304927 0.304927
0.313205 0.313205
0.321485 0.321485
0.329765 0.329765
0.338046 0.338046
0.346325 0.346325
0.354602 0.354602
0.362875 0.362875
0.371144 0.371144
0.379408 0.379408
0.387663 0.387663
0.395911 0.395911
0.404148 0.404148
0.412374 0.412374
0.420586 0.420586
0.428784 0.428784
0.436965 0.436965
0.445128 0.445128
0.453271 0.453271
0.461393 0.461393
0.469490 0.469490
0.477562 0.477562
0.485607 0.485607
0.493621 0.493621
0.501604 0.501604
0.509553 0.509553
0.517466 0.517466
0.525341 0.525341
0.533175 0.533175
0.540966 0.540966
0.548712 0.548712
0.556411 0.556411
0.564059 0.564059
0.571656 0.571656
0.579198 0.579198
0.586682 0.586682
0.594107 0.594107
0.601469 0.601469
0.608766 0.608766
0.615997 0.615997
0.623157 0.623157
0.630244 0.630244
0.637256 0.637256
0.644191 0.644191
0.651045 0.651045
0.657815 0.657815
0.664500 0.664500
0.671096 0.671096
0.677601 0.677601
0.684012 0.684012
0.690327 0.690327
0.696542 0.696542
0.702655 0.702655
0.708663 0.708663
0.714564 0.714564
0.720355 0.720355
0.726033 0.726033
0.731596 0.731596
0.737040 0.737040
0.742364 0.742364
0.747565 0.747565
0.752639 0.752639
0.757585 0.757585
0.762400 0.762400
0.767081 0.767081
0.771626 0.771626
0.776031 0.776031
0.780296 0.780296
0.784417 0.784417
0.788391 0.788391
0.792217 0.792217
0.795892 0.795892
0.799413 0.799413
0.802778 0.802778
0.805986 0.805986
0.809033 0.809033
0.811917 0.811917
0.814636 0.814636
0.817189 0.817189
0.819572 0.819572
0.821784 0.821784
0.823823 0.823823
0.825687 0.825687
0.827373 0.827373
0.828880 0.828880
0.830206 0.830206
0.831350 0.831350
0.832308 0.832308
0.833080 0.833080
0.833664 0.833664
0.834058 0.834058
0.834261 0.834261
0.834271 0.834271
0.834086 0.834086
0.833706 0.833706
0.833129 0.833129
0.832352 0.832352
0.831376 0.831376
0.830199 0.830199
0.828820 0.828820
0.827237 0.827237
0.825450 0.825450
0.823458 0.823458
0.821259 0.821259
0.818853 0.818853
0.816239 0.816239
0.813417 0.813417
0.810385 0.810385
0.807142 0.807142
0.803689 0.803689
0.800025 0.800025
0.796149 0.796149
0.792062 0.792062
0.787762 0.787762
0.783249 0.783249
0.778523 0.778523
0.773585 0.773585
